Date (UTC),181.1_to_181.2.delta,181_to_181.2.delta,MacVim.dmg
2025-07-23 04:27:50,4,3,6
2025-07-24 04:26:24,31,4,32
2025-07-25 04:25:44,38,5,42
2025-07-26 04:22:14,42,6,49
2025-07-27 04:32:35,45,6,50
2025-07-28 04:34:20,49,8,52
2025-07-29 04:35:50,51,10,56
2025-07-30 04:31:33,56,13,63
2025-07-31 04:29:40,59,15,69
2025-08-01 04:41:52,61,17,72
2025-08-02 04:21:40,63,17,76
2025-08-03 04:36:53,65,18,84
2025-08-04 04:44:55,65,23,88
2025-08-05 04:36:25,65,25,91
2025-08-06 04:33:15,66,27,94
2025-08-07 04:33:08,68,30,102
2025-08-08 04:32:44,70,34,116
2025-08-09 04:16:43,71,36,124
2025-08-10 04:28:49,71,36,124
2025-08-11 04:31:35,71,37,126
2025-08-12 04:15:33,73,37,136
2025-08-13 04:17:52,74,39,144
2025-08-14 04:17:22,74,39,162
2025-08-15 04:18:07,76,42,184
2025-08-16 04:02:09,76,45,195
2025-08-17 04:19:50,76,45,199
2025-08-18 04:25:50,76,46,200
2025-08-19 03:59:32,78,50,210
2025-08-20 03:58:29,80,52,214
2025-08-21 03:58:15,80,53,219
2025-08-22 03:58:17,81,54,220
2025-08-23 03:55:25,81,55,232
2025-08-24 04:13:01,82,55,235
2025-08-25 04:03:41,83,56,241
2025-08-26 03:59:24,83,57,251
2025-08-27 03:54:58,84,58,253
2025-08-28 03:55:20,85,58,254
2025-08-29 03:54:55,85,59,261
2025-08-30 03:53:17,85,61,265
2025-08-31 03:55:58,85,63,270
2025-09-01 04:17:14,85,65,273
2025-09-02 03:57:18,85,66,277
2025-09-03 03:53:13,86,66,280
2025-09-04 03:53:13,86,70,290
2025-09-05 03:53:51,86,70,301
2025-09-06 03:53:12,86,72,306
2025-09-07 03:53:43,86,73,321
