Date (UTC),176_to_178.delta,177_to_178.delta,MacVim.dmg,MacVim_10.9.dmg
2023-09-12 13:59:08,3,17,19,3
2023-09-12 15:56:58,24,264,121,8
2023-09-12 19:09:18,51,645,291,16
2023-09-12 22:39:19,84,1012,401,20
2023-09-13 03:53:28,104,1459,577,27
2023-09-13 06:26:35,115,1659,692,29
2023-09-13 10:02:02,137,2016,852,35
2023-09-14 03:53:33,275,3422,1467,53
2023-09-15 03:53:20,403,4610,1998,76
2023-09-16 03:53:19,503,5464,2470,87
2023-09-17 03:53:24,555,5876,2765,97
2023-09-18 03:53:18,606,6302,3060,105
2023-09-19 03:53:16,719,7027,3505,119
2023-09-20 03:53:34,821,7629,3977,132
2023-09-21 03:53:44,917,8117,4398,156
2023-09-22 03:53:16,995,8560,4812,171
2023-09-23 03:53:31,1056,8883,5134,194
2023-09-24 03:53:32,1108,9094,5379,205
