Date (UTC),163_to_165.delta,MacVim.dmg,MacVim_unsigned.dmg
2023-06-14 02:18:31,17669,16628,314
2023-06-14 03:53:15,17669,16628,314
2023-06-15 03:53:28,17669,16628,314
2023-06-16 03:53:35,17669,16628,314
2023-06-17 03:53:23,17669,16628,314
2023-06-18 03:53:21,17669,16628,314
2023-06-19 03:53:28,17669,16628,314
2023-06-20 03:53:15,17669,16628,314
2023-06-21 03:53:15,17669,16628,314
2023-06-22 03:53:29,17669,16628,314
2023-06-23 03:53:21,17669,16628,315
2023-06-24 03:53:35,17669,16629,315
2023-06-25 03:53:22,17669,16629,315
2023-06-26 03:53:20,17669,16629,315
2023-06-27 03:53:26,17669,16629,315
2023-06-28 03:53:27,17669,16629,315
2023-06-29 03:53:16,17669,16629,315
2023-06-30 03:53:34,17669,16629,315
2023-07-01 03:53:24,17669,16629,315
2023-07-02 03:53:17,17669,16629,315
2023-07-03 03:53:27,17669,16629,315
2023-07-04 03:53:22,17669,16629,315
2023-07-05 03:53:28,17669,16629,315
2023-07-06 03:53:38,17669,16629,315
2023-07-07 03:53:16,17669,16629,315
2023-07-08 03:53:27,17669,16629,315
2023-07-09 03:53:32,17669,16629,315
2023-07-10 05:22:22,17669,16629,315
2023-07-10 07:42:15,17669,16629,315
2023-07-10 08:00:00,17669,16629,315
2023-07-10 13:17:40,17669,16629,315
2023-07-10 17:20:16,17669,16629,315
2023-07-11 03:53:18,17669,16629,315
2023-07-11 08:10:13,17669,16629,315
2023-07-11 12:28:38,17669,16629,315
2023-07-12 00:38:47,17669,16629,315
2023-07-12 03:53:17,17669,16629,315
2023-07-12 09:33:32,17669,16629,315
2023-07-12 13:31:16,17669,16629,315
2023-07-13 03:53:35,17669,16629,315
2023-07-13 14:14:23,17669,16629,315
2023-07-14 03:53:36,17669,16629,315
2023-07-15 03:53:26,17669,16629,315
2023-07-16 03:53:17,17669,16629,315
2023-07-17 03:53:17,17669,16629,315
2023-07-18 03:53:16,17669,16629,315
2023-07-19 04:11:17,17669,16629,315
2023-07-20 03:53:28,17669,16629,315
2023-07-21 03:53:14,17669,16629,315
2023-07-22 03:53:31,17669,16629,315
2023-07-23 03:53:15,17669,16629,315
2023-07-24 03:53:16,17669,16629,315
2023-07-25 03:53:27,17669,16629,315
2023-07-26 03:53:24,17669,16629,315
2023-07-27 03:53:19,17669,16629,315
2023-07-28 03:53:17,17669,16629,315
